Filename,Asset Groups,Categories,Date Added,Date Updated,Width,Height,Colorspace,Resolution,File Format,Release Date,Expiration Date,Filesize,Global Collection,Metadata Type,Anatomy,Approval Id,Approval System,Apttus Product Code,Audience/Persona,Care Area / Specialties,Country of Use,Description,Display Name,File Type,Is Final,Language,MobilityCOE Content Type,PIM Asset Description,PIM Asset Name,PIM Country,PIM Environment,PIM Language,PIM Metadata,PIM Product Type,Parent Product Code,Product / Services,Product Group,Region,Uploader First Name,Uploader Last Name,Uploader Username,Embed ID,Download Link,640px Landscape,640px Portrait,Original,Wall N,Video with Player,Video with Player and Download,Video (No Player),Video Thumbnail,Streaming MP3,Document View and Download,Document View - HTML5,Document View - PDF,Thumbnail,Spinset with Viewer,Spinset with Viewer and Download,Spinset Thumbnail
1745941880104-mac5-lite-data-sheet-dcar-en-doc2563553.pdf,1eCommerce Asset Group,1eCommerce/Shop,04/29/2025,04/29/2025,612,792,,,PDF,04/29/2025,,0.15 mb,,PIM Metadata Type,,,,undefined,,,,,,,,,,,MAC™ 5 Lite Resting ECG  specification document,US,prd,en,,EQUIPMENT,undefined,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,qlelvvswfv,https://gehealthcare.widen.net/content/qlelvvswfv/original/1745941880104-mac5-lite-data-sheet-dcar-en-doc2563553.pdf?u=nqxvbh&download=true,,,,,,,,,,https://gehealthcare.widen.net/view/pdf/qlelvvswfv/1745941880104-mac5-lite-data-sheet-dcar-en-doc2563553.pdf?t.download=true&u=nqxvbh,https://gehealthcare.widen.net/view/pdf/qlelvvswfv/1745941880104-mac5-lite-data-sheet-dcar-en-doc2563553.pdf?u=nqxvbh,https://gehealthcare.widen.net/content/qlelvvswfv/pdf/1745941880104-mac5-lite-data-sheet-dcar-en-doc2563553.pdf?u=nqxvbh,https://gehealthcare.widen.net/content/qlelvvswfv/jpeg/1745941880104-mac5-lite-data-sheet-dcar-en-doc2563553.jpg?u=nqxvbh,,,
1745941731915-Widemouth adapters.png,1eCommerce Asset Group,1eCommerce/Shop,04/29/2025,04/29/2025,1027,1027,Unknown,300,PNG,04/29/2025,,0.27 mb,,PIM Metadata Type,,,,undefined,,,,,,,,,,Widemouth adapters,Widemouth Adapters,US,prd,en,,EQUIPMENT,undefined,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,ub5zthlny3,https://gehealthcare.widen.net/content/ub5zthlny3/original/1745941731915-Widemouth-adapters.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/ub5zthlny3/jpeg/1745941731915-Widemouth%20adapters.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ub5zthlny3/jpeg/1745941731915-Widemouth%20adapters.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ub5zthlny3/jpeg/1745941731915-Widemouth%20adapters.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ub5zthlny3/jpeg/1745941731915-Widemouth%20adapters.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1745941704458-Leadwires with banana connectors.png,1eCommerce Asset Group,1eCommerce/Shop,04/29/2025,04/29/2025,1027,1027,Unknown,300,PNG,04/29/2025,,0.40 mb,,PIM Metadata Type,,,,undefined,,,,,,,,,,Leadwires with banana connectors,Leadwires with Banana Connectors,US,prd,en,,EQUIPMENT,undefined,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,9ogms9s66u,https://gehealthcare.widen.net/content/9ogms9s66u/original/1745941704458-Leadwires-with-banana-connectors.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/9ogms9s66u/jpeg/1745941704458-Leadwires%20with%20banana%20connectors.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/9ogms9s66u/jpeg/1745941704458-Leadwires%20with%20banana%20connectors.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/9ogms9s66u/jpeg/1745941704458-Leadwires%20with%20banana%20connectors.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/9ogms9s66u/jpeg/1745941704458-Leadwires%20with%20banana%20connectors.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1745941674452-Patient cable.png,1eCommerce Asset Group,1eCommerce/Shop,04/29/2025,04/29/2025,1027,1027,Unknown,300,PNG,04/29/2025,,0.30 mb,,PIM Metadata Type,,,,undefined,,,,,,,,,,Patient Cable,Patient Cable,US,prd,en,,EQUIPMENT,undefined,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,yvce58elxv,https://gehealthcare.widen.net/content/yvce58elxv/original/1745941674452-Patient-cable.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/yvce58elxv/jpeg/1745941674452-Patient%20cable.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/yvce58elxv/jpeg/1745941674452-Patient%20cable.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/yvce58elxv/jpeg/1745941674452-Patient%20cable.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/yvce58elxv/jpeg/1745941674452-Patient%20cable.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1745941653065-MAC 5 Lite Carousel image 1.png,1eCommerce Asset Group,1eCommerce/Shop,04/29/2025,04/29/2025,1027,1027,Unknown,300,PNG,04/29/2025,,0.48 mb,,PIM Metadata Type,,,,undefined,,,,,,,,,,MAC 5 Lite Resting ECG,MAC 5 Lite Resting ECG,US,prd,en,,EQUIPMENT,undefined,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,xaitfwhrsj,https://gehealthcare.widen.net/content/xaitfwhrsj/original/1745941653065-MAC-5-Lite-Carousel-image-1.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/xaitfwhrsj/jpeg/1745941653065-MAC%205%20Lite%20Carousel%20image%201.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/xaitfwhrsj/jpeg/1745941653065-MAC%205%20Lite%20Carousel%20image%201.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/xaitfwhrsj/jpeg/1745941653065-MAC%205%20Lite%20Carousel%20image%201.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/xaitfwhrsj/jpeg/1745941653065-MAC%205%20Lite%20Carousel%20image%201.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1745941539573-MAC 5 Lite Carousel image 5.png,1eCommerce Asset Group,1eCommerce/Shop,04/29/2025,04/29/2025,1887,1887,Unknown,300,PNG,04/29/2025,,0.47 mb,,PIM Metadata Type,,,,MAC5LiteBundle,,,,,,,,,,Screen on MAC 5 Lite Resting ECG,MAC 5 Lite Carousel image 5,US,prd,en,,EQUIPMENT,MAC5LiteBundle,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,yy3diibnal,https://gehealthcare.widen.net/content/yy3diibnal/original/1745941539573-MAC-5-Lite-Carousel-image-5.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/yy3diibnal/jpeg/1745941539573-MAC%205%20Lite%20Carousel%20image%205.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/yy3diibnal/jpeg/1745941539573-MAC%205%20Lite%20Carousel%20image%205.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/yy3diibnal/jpeg/1745941539573-MAC%205%20Lite%20Carousel%20image%205.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/yy3diibnal/jpeg/1745941539573-MAC%205%20Lite%20Carousel%20image%205.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1745941507072-MAC 5 Lite Carousel image 4.png,1eCommerce Asset Group,1eCommerce/Shop,04/29/2025,04/29/2025,1887,1887,Unknown,300,PNG,04/29/2025,,0.46 mb,,PIM Metadata Type,,,,MAC5LiteBundle,,,,,,,,,,Waveforms on touchscreen of MAC 5 Lite Resting ECG,MAC 5 Lite Carousel image 4,US,prd,en,,EQUIPMENT,MAC5LiteBundle,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,micgss1bcn,https://gehealthcare.widen.net/content/micgss1bcn/original/1745941507072-MAC-5-Lite-Carousel-image-4.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/micgss1bcn/jpeg/1745941507072-MAC%205%20Lite%20Carousel%20image%204.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/micgss1bcn/jpeg/1745941507072-MAC%205%20Lite%20Carousel%20image%204.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/micgss1bcn/jpeg/1745941507072-MAC%205%20Lite%20Carousel%20image%204.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/micgss1bcn/jpeg/1745941507072-MAC%205%20Lite%20Carousel%20image%204.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1745941471456-MAC 5 Lite Carousel image 3.png,1eCommerce Asset Group,1eCommerce/Shop,04/29/2025,04/29/2025,1887,1887,Unknown,300,PNG,04/29/2025,,0.34 mb,,PIM Metadata Type,,,,MAC5LiteBundle,,,,,,,,,,Touchscreen on MAC 5 Lite Resting ECG,MAC 5 Lite Carousel image 3,US,prd,en,,EQUIPMENT,MAC5LiteBundle,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,8tbjhsjvza,https://gehealthcare.widen.net/content/8tbjhsjvza/original/1745941471456-MAC-5-Lite-Carousel-image-3.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/8tbjhsjvza/jpeg/1745941471456-MAC%205%20Lite%20Carousel%20image%203.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/8tbjhsjvza/jpeg/1745941471456-MAC%205%20Lite%20Carousel%20image%203.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/8tbjhsjvza/jpeg/1745941471456-MAC%205%20Lite%20Carousel%20image%203.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/8tbjhsjvza/jpeg/1745941471456-MAC%205%20Lite%20Carousel%20image%203.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1745941425349-MAC 5 Lite Carousel image 2.png,1eCommerce Asset Group,1eCommerce/Shop,04/29/2025,04/29/2025,945,945,Unknown,300,PNG,04/29/2025,,0.34 mb,,PIM Metadata Type,,,,MAC5LiteBundle,,,,,,,,,,MAC 5 Lite Resting ECG in use with patient,MAC 5 Lite Carousel image 2,US,prd,en,,EQUIPMENT,MAC5LiteBundle,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,1iersqmthz,https://gehealthcare.widen.net/content/1iersqmthz/original/1745941425349-MAC-5-Lite-Carousel-image-2.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/1iersqmthz/jpeg/1745941425349-MAC%205%20Lite%20Carousel%20image%202.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/1iersqmthz/jpeg/1745941425349-MAC%205%20Lite%20Carousel%20image%202.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/1iersqmthz/jpeg/1745941425349-MAC%205%20Lite%20Carousel%20image%202.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/1iersqmthz/jpeg/1745941425349-MAC%205%20Lite%20Carousel%20image%202.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1745941392530-MAC 5 Lite Carousel image 6.png,1eCommerce Asset Group,1eCommerce/Shop,04/29/2025,04/29/2025,945,945,Unknown,300,PNG,04/29/2025,,0.30 mb,,PIM Metadata Type,,,,MAC5LiteBundle,,,,,,,,,,"Portable, lightweight MAC 5 Lite Resting ECG",MAC 5 Lite Carousel image 6,US,prd,en,,EQUIPMENT,MAC5LiteBundle,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,ifmdhuopmh,https://gehealthcare.widen.net/content/ifmdhuopmh/original/1745941392530-MAC-5-Lite-Carousel-image-6.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/ifmdhuopmh/jpeg/1745941392530-MAC%205%20Lite%20Carousel%20image%206.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ifmdhuopmh/jpeg/1745941392530-MAC%205%20Lite%20Carousel%20image%206.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ifmdhuopmh/jpeg/1745941392530-MAC%205%20Lite%20Carousel%20image%206.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ifmdhuopmh/jpeg/1745941392530-MAC%205%20Lite%20Carousel%20image%206.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
